Id,Label,Tipo
A_PA 316,2322,Acidentes
G_PA 316,691,Graves
F_PA 316,1407,Feridos
L_PA 316,224,Leves
MS 163,MS 163,Rodovia
A_MS 163,7798,Acidentes
G_MS 163,1689,Graves
F_MS 163,5328,Feridos
L_MS 163,781,Leves
MG 116,MG 116,Rodovia
A_MG 116,8584,Acidentes
G_MG 116,3128,Graves
F_MG 116,5184,Feridos
L_MG 116,272,Leves
BA 242,BA 242,Rodovia
A_BA 242,4172,Acidentes
G_BA 242,846,Graves
F_BA 242,2892,Feridos
L_BA 242,434,Leves
MA 135,MA 135,Rodovia
A_MA 135,2381,Acidentes
G_MA 135,567,Graves
F_MA 135,1558,Feridos
L_MA 135,256,Leves
PE 232,PE 232,Rodovia
A_PE 232,4908,Acidentes
G_PE 232,731,Graves
F_PE 232,3488,Feridos
L_PE 232,689,Leves
PR 476,PR 476,Rodovia
A_PR 476,2840,Acidentes
G_PR 476,437,Graves
F_PR 476,2023,Feridos
L_PR 476,380,Leves
GO 40,GO 40,Rodovia
A_GO 40,2462,Acidentes
G_GO 40,331,Graves
F_GO 40,1879,Feridos
L_GO 40,252,Leves
MT 70,MT 70,Rodovia
A_MT 70,2949,Acidentes
G_MT 70,194,Graves
F_MT 70,2329,Feridos
L_MT 70,426,Leves
MG 50,MG 50,Rodovia
A_MG 50,2397,Acidentes
G_MG 50,167,Graves
F_MG 50,2027,Feridos
L_MG 50,203,Leves
PA 230,PA 230,Rodovia
A_PA 230,3078,Acidentes
G_PA 230,1146,Graves
F_PA 230,1526,Feridos
L_PA 230,406,Leves
PA 163,PA 163,Rodovia
A_PA 163,3521,Acidentes
G_PA 163,1766,Graves
F_PA 163,1595,Feridos
L_PA 163,160,Leves
