Id,Label,Type, latidude, longitude,Latitude,Longitude
104,CE 406,Rodovia,-3.719474,-38.592352
105,RS 392,Rodovia,-32.0357576,-52.0991909
106,BA 324,Rodovia,-9.3412609,-42.4365176
107,BA 242,Rodovia,-18.0868124,-39.5491104
108,CE 116,Rodovia,-3.772063,-38.4713061
109,RN 116,Rodovia,-37.8729153,-67.7919509
110,PI 116,Rodovia,-2.9292745,-41.5518051
111,AL 101,Rodovia,-9.5962951,-35.6761134
112,DF 70,Rodovia,-15.8760158,-47.9172866
113,GO 50,Rodovia,-16.2609034,-49.0017506
114,GO 40,Rodovia,-16.259438,-49.0020815
115,PI 222,Rodovia,-22.8855213,-47.0673232
116,PI 135,Rodovia,-18.7060517,-40.396204
117,MA 222,Rodovia,-2.6229635,-60.9468628
118,SC 480,Rodovia,-26.5712956,-52.5107692
119,SC 285,Rodovia,-28.9505003,-49.6573404
120,PA 316,Rodovia,-1.3246518,-48.4294875
121,PR 163,Rodovia,-26.1091725,-53.6471951
122,MG 267,Rodovia,-19.9320974,-44.1103851
123,SP 267,Rodovia,-23.8595132,-49.1277833
124,RJ 267,Rodovia,-21.6471114,-41.750734
125,PA 10,Rodovia,-15.8100759,-47.8778613
126,PA 230,Rodovia,-25.5844452,-49.6297834
127,TO 10,Rodovia,-10.2925826,-48.3612669
128,AC 317,Rodovia,-9.9537655,-67.8299364
129,GO 158,Rodovia,-16.8176458,-49.9035383
130,MG 146,Rodovia,-16.5612292,-42.8916021
131,MG 354,Rodovia,-17.847208,-42.0791378
132,SP 146,Rodovia,-23.193585,-45.8680391
133,TO 242,Rodovia,-28.2868097,-54.263967
134,MA 135,Rodovia,-17.5867923,-54.7516518
135,PE 408,Rodovia,-8.2281215,-35.7513663
136,MS NA,Rodovia,-23.9690975,-47.4960345
137,AL 104,Rodovia,-9.9088607,-36.347239
138,PE 104,Rodovia,-17.6348144,-71.3378637
139,GO 452,Rodovia,-12.9999164,-46.342062
140,PB 104,Rodovia,-7.0178248,-35.8572681
141,RJ NA,Rodovia,-23.0331421,-43.4901186
142,RS 470,Rodovia,-30.0335293,-51.2126045
143,RS 480,Rodovia,-31.575306,-53.3804949
144,SC 158,Rodovia,-26.3227699,-48.8404519
145,PE 423,Rodovia,-3.7641772,-38.5324149
146,AL 423,Rodovia,-18.0006187,-39.868894
147,PR 476,Rodovia,-23.3252202,-51.1617015
148,PR 272,Rodovia,-23.7408244,-49.5872882
149,PR 487,Rodovia,-24.689939,-51.1831968
150,MT 174,Rodovia,-15.5327687,-57.908934
151,RO 174,Rodovia,-22.8883707,-43.1103607
152,MT 70,Rodovia,-15.6065147,-56.0670892
153,MA 230,Rodovia,-3.665481,-42.7851049
154,CE 230,Rodovia,-3.0790323,-59.935488
155,RJ 493,Rodovia,-22.6640744,-42.9996896
156,CE 222,Rodovia,-3.777463,-38.5376563
157,RS 287,Rodovia,-30.865702,-51.7959412
158,MG 50,Rodovia,-19.9709063,-44.1767661
159,DF 50,Rodovia,-15.8427147,-48.1040251
160,RN 110,Rodovia,-37.8729153,-67.7919509
161,BA 20,Rodovia,-20.5520409,-48.6719227
162,BA 110,Rodovia,-38.7080349,-62.2846213
163,SE 110,Rodovia,-21.3714575,-51.8538345
164,MA 10,Rodovia,-15.9507674,-48.0904392
165,MA 226,Rodovia,-5.0627459,-44.5788811
166,RS NA,Rodovia,-28.8487335,-55.2101614
167,MT 158,Rodovia,-10.1168114,-51.0981048
168,PI 235,Rodovia,-5.0893181,-42.8039778
169,MA 235,Rodovia,-4.125533,-44.0874065
170,TO 235,Rodovia,-8.8470313,-48.5054366
171,SP 354,Rodovia,-23.316405,-46.8219615
172,TO 226,Rodovia,-7.4645972,-48.6298241
173,RS 468,Rodovia,-27.7273768,-54.1385946
174,RS 472,Rodovia,-27.3727439,-53.5009342
175,PI 226,Rodovia,-21.0592779,-41.3602346
176,RN 427,Rodovia,-38.8164557,-68.0688538
177,PB 427,Rodovia,-6.6522495,-37.4899234
178,RJ 465,Rodovia,-22.5156533,-44.0844417
179,RS 293,Rodovia,-29.7201468,-53.762788
