Source,Target,Weight
1,3,0.11674541290963716
1,52,0.07254472911353273
2,37,0.16054410691658932
2,110,0.10820202967876633
3,1,0.11674541290963716
3,60,0.19220138063165126
4,49,0.117992136365296
5,52,0.08478200240199199
5,38,0.23614956925178704
6,27,0.12377990272904504
6,151,0.2291033497700441
7,76,0.1717008481714364
7,88,0.18782993966817496
8,151,0.20112876254180603
8,230,0.05330267558528428
9,75,0.1282635348821621
9,39,0.18936727380169968
10,45,0.057832058787881925
11,6,0.15157577027620892
12,11,0.13535507839393113
13,34,0.13366810392879813
14,16,0.08286352868113872
14,59,0.08620849066456136
15,63,0.09666641758443888
16,14,0.08286352868113872
16,155,0.04209052545782008
17,129,0.10886975956983327
17,99,0.1793358251943496
18,59,0.16392147188705486
18,118,0.34115197596426267
19,20,0.18780715133028303
19,143,0.2672717259016192
20,19,0.18780715133028303
21,54,0.16909362586776552
21,57,0.1558796716703402
22,60,0.23898727591442842
22,71,0.2989535637586612
23,141,0.0397141149638375
23,89,0.09000854343675008
24,66,0.1547776986958619
24,220,0.16757151592001213
25,28,0.09078072319959093
25,35,0.07674864832793586
26,138,0.23861914600550965
26,28,0.1460918972332016
27,5,0.10151709845786558
27,45,0.08519200796374243
28,25,0.09078072319959093
28,60,0.1757114138454629
29,14,0.09598251424649556
29,151,0.18500281109445277
30,106,0.16121047136038186
30,155,0.020180758245627765
31,34,0.19766822603176
32,185,0.05029296875
32,52,0.07606051260964912
33,6,0.1881438005311239
33,243,0.10686653771760155
34,13,0.13366810392879813
34,15,0.14814861052654904
35,25,0.07674864832793586
35,41,0.0868830643452705
36,65,0.11881130679324478
36,155,0.09571655208884187
37,2,0.16054410691658932
37,219,0.5058983302556888
38,5,0.23614956925178704
38,27,0.21963775062496688
39,9,0.18936727380169968
39,61,0.2088957523184588
40,73,0.08413256577297526
41,150,0.14974235385168314
42,203,0.24391891891891893
42,244,0.24034749034749034
43,134,0.31097857023271386
43,146,0.2425656272434997
44,100,0.2258553274682307
45,52,0.06845691190786884
45,27,0.08519200796374243
46,66,0.1587773465835695
46,84,0.09759287517425869
47,70,0.182390815861702
47,132,0.32487484474814227
48,111,0.05142620428453071
49,4,0.117992136365296
49,5,0.1451658273024073
50,73,0.07570894142603495
50,51,0.07441929968652691
51,50,0.07441929968652691
52,45,0.06845691190786884
52,5,0.08478200240199199
52,1,0.07254472911353273
53,54,0.21086495565002886
53,57,0.19765100145260353
54,21,0.16909362586776552
54,53,0.21086495565002886
55,60,0.18432134354862956
55,78,0.16347841109046918
57,21,0.1558796716703402
57,53,0.19765100145260353
58,25,0.08723588443388725
58,28,0.10341168297342673
59,91,0.0316762048295011
59,14,0.08620849066456136
60,3,0.19220138063165126
60,28,0.1757114138454629
61,39,0.2088957523184588
