Id,Label,Type,CoefFatalidade
147,PB 116,Rodovia,0.4444444444444444
148,RR 401,Rodovia,0.41379310344827586
149,PA 222,Rodovia,0.21875
150,PI 230,Rodovia,0.20461095100864554
151,MS 267,Rodovia,0.2956521739130435
152,AP 210,Rodovia,0.010309278350515464
153,SP 459,Rodovia,0.0
154,TO 230,Rodovia,0.0
155,DF 40,Rodovia,0.036065573770491806
156,BA 407,Rodovia,0.21553090332805072
157,BA 349,Rodovia,0.0364963503649635
158,RO 435,Rodovia,0.41728922091782283
159,RO 429,Rodovia,0.37628865979381443
160,AL 423,Rodovia,0.41019417475728154
161,PB 405,Rodovia,0.10101010101010101
162,ES 259,Rodovia,0.32830820770519265
163,PA 155,Rodovia,0.16844919786096257
164,BA 330,Rodovia,0.12177121771217712
165,MG 459,Rodovia,0.05434782608695652
166,PB 361,Rodovia,0.2972027972027972
167,SP 488,Rodovia,0.0
168,AM 319,Rodovia,0.20658949243098843
169,MA 402,Rodovia,0.48717948717948717
170,MS 436,Rodovia,0.0
171,PE 116,Rodovia,0.2361111111111111
172,BA 410,Rodovia,0.38202247191011235
173,AC 317,Rodovia,0.17763157894736842
174,RR 432,Rodovia,0.4555984555984556
175,PR 467,Rodovia,0.2702702702702703
176,RR 174,Rodovia,0.18691588785046728
177,MS 376,Rodovia,0.1912568306010929
178,PR 469,Rodovia,0.0
179,AP 156,Rodovia,0.2847457627118644
180,RS 471,Rodovia,0.33226837060702874
181,PA 308,Rodovia,0.3047619047619048
182,MG 364,Rodovia,0.026490066225165563
183,PB 427,Rodovia,0.04878048780487805
184,BA 135,Rodovia,0.2230281051677244
185,MG 356,Rodovia,0.0
186,BA 367,Rodovia,0.06942392909896603
187,TO 242,Rodovia,0.5786516853932584
188,SC 158,Rodovia,0.08256880733944955
189,RO 174,Rodovia,0.0
190,AM 174,Rodovia,0.1382716049382716
191,BA 420,Rodovia,0.0
192,TO NA,Rodovia,0.0
193,AL NA,Rodovia,0.0
194,RJ 354,Rodovia,0.0
195,PR 272,Rodovia,0.1568627450980392
196,ES 447,Rodovia,0.0
197,AM 230,Rodovia,0.19047619047619047
198,PI 407,Rodovia,0.4088669950738916
199,SC NA,Rodovia,0.0
200,SE 349,Rodovia,0.0
201,RO NA,Rodovia,0.0
202,CE 122,Rodovia,0.25
203,PB 110,Rodovia,0.15
204,RJ 495,Rodovia,0.0
205,PI 20,Rodovia,0.0
206,RO 421,Rodovia,0.3568627450980392
207,PE NA,Rodovia,0.0
208,MS 359,Rodovia,0.13709677419354838
209,PB NA,Rodovia,0.0
210,PI NA,Rodovia,0.0
211,PI 402,Rodovia,0.0
212,RO 425,Rodovia,0.24605678233438485
213,GO NA,Rodovia,0.0
214,MA NA,Rodovia,0.0
215,MT NA,Rodovia,0.0
216,MG NA,Rodovia,0.0
217,SC 285,Rodovia,0.0
218,BA 30,Rodovia,0.6
219,PA 153,Rodovia,0.7981651376146789
220,PR 280,Rodovia,0.16091954022988506
221,SP NA,Rodovia,0.0
222,CE 402,Rodovia,0.3157894736842105
223,CE NA,Rodovia,0.0
224,DF NA,Rodovia,0.0
225,PB 412,Rodovia,0.41379310344827586
226,CE 226,Rodovia,0.6470588235294118
227,MS 419,Rodovia,0.0
228,TO 226,Rodovia,0.18609625668449198
229,AM NA,Rodovia,0.0
230,SP 262,Rodovia,0.0
231,PB 434,Rodovia,1.0
232,SP 158,Rodovia,0.0
233,PR 487,Rodovia,0.055248618784530384
234,RN NA,Rodovia,0.0
235,RJ 485,Rodovia,0.0
236,AL 416,Rodovia,1.0
237,AL 424,Rodovia,0.0
238,RR NA,Rodovia,0.0
239,PR NA,Rodovia,0.6486486486486487
240,MS 487,Rodovia,0.05161290322580645
241,BA NA,Rodovia,0.0
242,GO 30,Rodovia,1.0
243,PR 466,Rodovia,0.0
244,AL 110,Rodovia,0.14285714285714285
245,CE 403,Rodovia,0.9375
246,BA 423,Rodovia,0.0
247,ES NA,Rodovia,0.0
248,MA 330,Rodovia,0.0
249,RS 480,Rodovia,0.0
250,AC NA,Rodovia,0.0
251,PI 226,Rodovia,0.0
252,PB 426,Rodovia,0.0
253,PE 363,Rodovia,0.0
