Rodovia,Acidentes,Graves,Feridos,Leves
SP 262,74,0,74,0
PB 434,9,9,0,0
SP 158,6,0,6,0
PR 487,181,10,147,24
RN NA,12,0,2,10
RJ 485,13,0,13,0
AL 416,1,1,0,0
AL 424,8,0,8,0
RR NA,10,0,0,10
PR NA,37,24,0,13
MS 487,155,8,134,13
BA NA,18,0,16,2
GO 30,6,6,0,0
PR 466,2,0,2,0
AL 110,14,2,12,0
CE 403,32,30,2,0
BA 423,3,0,0,3
ES NA,14,0,12,2
MA 330,10,0,10,0
RS 480,2,0,0,2
AC NA,2,0,0,2
PI 226,4,0,4,0
PB 426,8,0,8,0
PE 363,6,0,6,0
