Id,Label,Type
587,Acidentes com Feridos (RS 468),Acidentes com Feridos
588,Acidentes Leves (RS 468),Acidentes Leves
589,MA 226,Rodovia
590,Total de Acidentes (MA 226),Total de Acidentes
591,Acidentes Graves (MA 226),Acidentes Graves
592,Acidentes com Feridos (MA 226),Acidentes com Feridos
593,Acidentes Leves (MA 226),Acidentes Leves
594,RN 427,Rodovia
595,Total de Acidentes (RN 427),Total de Acidentes
596,Acidentes com Feridos (RN 427),Acidentes com Feridos
597,Acidentes Leves (RN 427),Acidentes Leves
598,RJ 465,Rodovia
599,Total de Acidentes (RJ 465),Total de Acidentes
600,Acidentes Graves (RJ 465),Acidentes Graves
601,Acidentes com Feridos (RJ 465),Acidentes com Feridos
602,Acidentes Leves (RJ 465),Acidentes Leves
603,BA 20,Rodovia
604,Total de Acidentes (BA 20),Total de Acidentes
605,Acidentes Graves (BA 20),Acidentes Graves
606,Acidentes com Feridos (BA 20),Acidentes com Feridos
607,Acidentes Leves (BA 20),Acidentes Leves
608,RS 293,Rodovia
609,Total de Acidentes (RS 293),Total de Acidentes
610,Acidentes Graves (RS 293),Acidentes Graves
611,Acidentes com Feridos (RS 293),Acidentes com Feridos
612,Acidentes Leves (RS 293),Acidentes Leves
613,PA 230,Rodovia
614,Total de Acidentes (PA 230),Total de Acidentes
615,Acidentes Graves (PA 230),Acidentes Graves
616,Acidentes com Feridos (PA 230),Acidentes com Feridos
617,Acidentes Leves (PA 230),Acidentes Leves
618,CE 20,Rodovia
619,Total de Acidentes (CE 20),Total de Acidentes
620,Acidentes Graves (CE 20),Acidentes Graves
621,Acidentes com Feridos (CE 20),Acidentes com Feridos
622,Acidentes Leves (CE 20),Acidentes Leves
623,BA 418,Rodovia
624,Total de Acidentes (BA 418),Total de Acidentes
625,Acidentes Graves (BA 418),Acidentes Graves
626,Acidentes com Feridos (BA 418),Acidentes com Feridos
627,Acidentes Leves (BA 418),Acidentes Leves
628,RN 405,Rodovia
629,Total de Acidentes (RN 405),Total de Acidentes
630,Acidentes Graves (RN 405),Acidentes Graves
631,Acidentes com Feridos (RN 405),Acidentes com Feridos
632,Acidentes Leves (RN 405),Acidentes Leves
633,SC 153,Rodovia
634,Total de Acidentes (SC 153),Total de Acidentes
635,Acidentes Graves (SC 153),Acidentes Graves
636,Acidentes com Feridos (SC 153),Acidentes com Feridos
637,Acidentes Leves (SC 153),Acidentes Leves
638,PE 424,Rodovia
639,Total de Acidentes (PE 424),Total de Acidentes
640,Acidentes Graves (PE 424),Acidentes Graves
641,Acidentes com Feridos (PE 424),Acidentes com Feridos
642,Acidentes Leves (PE 424),Acidentes Leves
643,RS 448,Rodovia
644,Total de Acidentes (RS 448),Total de Acidentes
645,Acidentes Graves (RS 448),Acidentes Graves
646,Acidentes com Feridos (RS 448),Acidentes com Feridos
647,Acidentes Leves (RS 448),Acidentes Leves
648,PA 163,Rodovia
649,Total de Acidentes (PA 163),Total de Acidentes
650,Acidentes Graves (PA 163),Acidentes Graves
651,Acidentes com Feridos (PA 163),Acidentes com Feridos
652,Acidentes Leves (PA 163),Acidentes Leves
653,RN 226,Rodovia
654,Total de Acidentes (RN 226),Total de Acidentes
655,Acidentes Graves (RN 226),Acidentes Graves
656,Acidentes com Feridos (RN 226),Acidentes com Feridos
657,Acidentes Leves (RN 226),Acidentes Leves
658,GO 251,Rodovia
659,Total de Acidentes (GO 251),Total de Acidentes
660,Acidentes Graves (GO 251),Acidentes Graves
661,Acidentes com Feridos (GO 251),Acidentes com Feridos
662,Acidentes Leves (GO 251),Acidentes Leves
663,RO 319,Rodovia
664,Total de Acidentes (RO 319),Total de Acidentes
665,Acidentes Graves (RO 319),Acidentes Graves
666,Acidentes com Feridos (RO 319),Acidentes com Feridos
667,Acidentes Leves (RO 319),Acidentes Leves
668,RS 153,Rodovia
669,Total de Acidentes (RS 153),Total de Acidentes
670,Acidentes Graves (RS 153),Acidentes Graves
671,Acidentes com Feridos (RS 153),Acidentes com Feridos
672,Acidentes Leves (RS 153),Acidentes Leves
673,GO 414,Rodovia
674,Total de Acidentes (GO 414),Total de Acidentes
675,Acidentes Graves (GO 414),Acidentes Graves
676,Acidentes com Feridos (GO 414),Acidentes com Feridos
677,Acidentes Leves (GO 414),Acidentes Leves
678,BA 235,Rodovia
679,Total de Acidentes (BA 235),Total de Acidentes
680,Acidentes Graves (BA 235),Acidentes Graves
681,Acidentes com Feridos (BA 235),Acidentes com Feridos
682,Acidentes Leves (BA 235),Acidentes Leves
683,CE 230,Rodovia
684,Total de Acidentes (CE 230),Total de Acidentes
685,Acidentes Graves (CE 230),Acidentes Graves
686,Acidentes com Feridos (CE 230),Acidentes com Feridos
687,TO 235,Rodovia
688,Total de Acidentes (TO 235),Total de Acidentes
689,Acidentes Graves (TO 235),Acidentes Graves
690,Acidentes com Feridos (TO 235),Acidentes com Feridos
691,PE 407,Rodovia
692,Total de Acidentes (PE 407),Total de Acidentes
693,Acidentes Graves (PE 407),Acidentes Graves
694,Acidentes com Feridos (PE 407),Acidentes com Feridos
695,Acidentes Leves (PE 407),Acidentes Leves
696,RS 472,Rodovia
697,Total de Acidentes (RS 472),Total de Acidentes
698,Acidentes Graves (RS 472),Acidentes Graves
699,Acidentes com Feridos (RS 472),Acidentes com Feridos
700,Acidentes Leves (RS 472),Acidentes Leves
701,MA 316,Rodovia
702,Total de Acidentes (MA 316),Total de Acidentes
703,Acidentes Graves (MA 316),Acidentes Graves
704,Acidentes com Feridos (MA 316),Acidentes com Feridos
705,Acidentes Leves (MA 316),Acidentes Leves
706,BA 415,Rodovia
707,Total de Acidentes (BA 415),Total de Acidentes
708,Acidentes Graves (BA 415),Acidentes Graves
709,Acidentes com Feridos (BA 415),Acidentes com Feridos
710,Acidentes Leves (BA 415),Acidentes Leves
711,MS 463,Rodovia
712,Total de Acidentes (MS 463),Total de Acidentes
713,Acidentes Graves (MS 463),Acidentes Graves
714,Acidentes com Feridos (MS 463),Acidentes com Feridos
715,Acidentes Leves (MS 463),Acidentes Leves
716,DF 251,Rodovia
717,Total de Acidentes (DF 251),Total de Acidentes
718,Acidentes Graves (DF 251),Acidentes Graves
719,Acidentes com Feridos (DF 251),Acidentes com Feridos
720,Acidentes Leves (DF 251),Acidentes Leves
721,PB 116,Rodovia
722,Total de Acidentes (PB 116),Total de Acidentes
723,Acidentes Graves (PB 116),Acidentes Graves
724,Acidentes com Feridos (PB 116),Acidentes com Feridos
725,Acidentes Leves (PB 116),Acidentes Leves
726,RR 401,Rodovia
727,Total de Acidentes (RR 401),Total de Acidentes
728,Acidentes Graves (RR 401),Acidentes Graves
729,Acidentes com Feridos (RR 401),Acidentes com Feridos
730,Acidentes Leves (RR 401),Acidentes Leves
731,PA 222,Rodovia
732,Total de Acidentes (PA 222),Total de Acidentes
733,Acidentes Graves (PA 222),Acidentes Graves
734,Acidentes com Feridos (PA 222),Acidentes com Feridos
735,Acidentes Leves (PA 222),Acidentes Leves
736,PI 230,Rodovia
737,Total de Acidentes (PI 230),Total de Acidentes
738,Acidentes Graves (PI 230),Acidentes Graves
739,Acidentes com Feridos (PI 230),Acidentes com Feridos
740,Acidentes Leves (PI 230),Acidentes Leves
741,MS 267,Rodovia
742,Total de Acidentes (MS 267),Total de Acidentes
743,Acidentes Graves (MS 267),Acidentes Graves
744,Acidentes com Feridos (MS 267),Acidentes com Feridos
745,Acidentes Leves (MS 267),Acidentes Leves
746,AP 210,Rodovia
747,Total de Acidentes (AP 210),Total de Acidentes
748,Acidentes Graves (AP 210),Acidentes Graves
749,Acidentes com Feridos (AP 210),Acidentes com Feridos
750,Acidentes Leves (AP 210),Acidentes Leves
751,SP 459,Rodovia
752,Total de Acidentes (SP 459),Total de Acidentes
753,Acidentes com Feridos (SP 459),Acidentes com Feridos
754,Acidentes Leves (SP 459),Acidentes Leves
755,TO 230,Rodovia
756,Total de Acidentes (TO 230),Total de Acidentes
757,Acidentes com Feridos (TO 230),Acidentes com Feridos
758,Acidentes Leves (TO 230),Acidentes Leves
759,DF 40,Rodovia
760,Total de Acidentes (DF 40),Total de Acidentes
761,Acidentes Graves (DF 40),Acidentes Graves
762,Acidentes com Feridos (DF 40),Acidentes com Feridos
763,Acidentes Leves (DF 40),Acidentes Leves
764,BA 407,Rodovia
765,Total de Acidentes (BA 407),Total de Acidentes
766,Acidentes Graves (BA 407),Acidentes Graves
767,Acidentes com Feridos (BA 407),Acidentes com Feridos
768,Acidentes Leves (BA 407),Acidentes Leves
769,BA 349,Rodovia
770,Total de Acidentes (BA 349),Total de Acidentes
771,Acidentes Graves (BA 349),Acidentes Graves
772,Acidentes com Feridos (BA 349),Acidentes com Feridos
773,RO 435,Rodovia
774,Total de Acidentes (RO 435),Total de Acidentes
775,Acidentes Graves (RO 435),Acidentes Graves
776,Acidentes com Feridos (RO 435),Acidentes com Feridos
777,Acidentes Leves (RO 435),Acidentes Leves
778,RO 429,Rodovia
779,Total de Acidentes (RO 429),Total de Acidentes
780,Acidentes Graves (RO 429),Acidentes Graves
781,Acidentes com Feridos (RO 429),Acidentes com Feridos
782,Acidentes Leves (RO 429),Acidentes Leves
783,AL 423,Rodovia
784,Total de Acidentes (AL 423),Total de Acidentes
785,Acidentes Graves (AL 423),Acidentes Graves
786,Acidentes com Feridos (AL 423),Acidentes com Feridos
787,Acidentes Leves (AL 423),Acidentes Leves
788,PB 405,Rodovia
789,Total de Acidentes (PB 405),Total de Acidentes
790,Acidentes Graves (PB 405),Acidentes Graves
791,Acidentes com Feridos (PB 405),Acidentes com Feridos
792,ES 259,Rodovia
793,Total de Acidentes (ES 259),Total de Acidentes
794,Acidentes Graves (ES 259),Acidentes Graves
795,Acidentes com Feridos (ES 259),Acidentes com Feridos
796,Acidentes Leves (ES 259),Acidentes Leves
797,PA 155,Rodovia
798,Total de Acidentes (PA 155),Total de Acidentes
799,Acidentes Graves (PA 155),Acidentes Graves
800,Acidentes com Feridos (PA 155),Acidentes com Feridos
801,Acidentes Leves (PA 155),Acidentes Leves
802,BA 330,Rodovia
803,Total de Acidentes (BA 330),Total de Acidentes
804,Acidentes Graves (BA 330),Acidentes Graves
805,Acidentes com Feridos (BA 330),Acidentes com Feridos
806,Acidentes Leves (BA 330),Acidentes Leves
807,MG 459,Rodovia
808,Total de Acidentes (MG 459),Total de Acidentes
809,Acidentes Graves (MG 459),Acidentes Graves
810,Acidentes com Feridos (MG 459),Acidentes com Feridos
811,Acidentes Leves (MG 459),Acidentes Leves
812,PB 361,Rodovia
813,Total de Acidentes (PB 361),Total de Acidentes
814,Acidentes Graves (PB 361),Acidentes Graves
815,Acidentes com Feridos (PB 361),Acidentes com Feridos
816,Acidentes Leves (PB 361),Acidentes Leves
817,SP 488,Rodovia
818,Total de Acidentes (SP 488),Total de Acidentes
819,Acidentes com Feridos (SP 488),Acidentes com Feridos
820,Acidentes Leves (SP 488),Acidentes Leves
821,AM 319,Rodovia
822,Total de Acidentes (AM 319),Total de Acidentes
823,Acidentes Graves (AM 319),Acidentes Graves
824,Acidentes com Feridos (AM 319),Acidentes com Feridos
825,Acidentes Leves (AM 319),Acidentes Leves
826,MA 402,Rodovia
827,Total de Acidentes (MA 402),Total de Acidentes
828,Acidentes Graves (MA 402),Acidentes Graves
829,Acidentes com Feridos (MA 402),Acidentes com Feridos
830,Acidentes Leves (MA 402),Acidentes Leves
831,MS 436,Rodovia
832,Total de Acidentes (MS 436),Total de Acidentes
833,Acidentes com Feridos (MS 436),Acidentes com Feridos
834,Acidentes Leves (MS 436),Acidentes Leves
835,PE 116,Rodovia
836,Total de Acidentes (PE 116),Total de Acidentes
837,Acidentes Graves (PE 116),Acidentes Graves
838,Acidentes com Feridos (PE 116),Acidentes com Feridos
839,BA 410,Rodovia
840,Total de Acidentes (BA 410),Total de Acidentes
841,Acidentes Graves (BA 410),Acidentes Graves
842,Acidentes com Feridos (BA 410),Acidentes com Feridos
843,Acidentes Leves (BA 410),Acidentes Leves
844,AC 317,Rodovia
845,Total de Acidentes (AC 317),Total de Acidentes
846,Acidentes Graves (AC 317),Acidentes Graves
847,Acidentes com Feridos (AC 317),Acidentes com Feridos
848,Acidentes Leves (AC 317),Acidentes Leves
849,RR 432,Rodovia
850,Total de Acidentes (RR 432),Total de Acidentes
851,Acidentes Graves (RR 432),Acidentes Graves
852,Acidentes com Feridos (RR 432),Acidentes com Feridos
853,Acidentes Leves (RR 432),Acidentes Leves
854,PR 467,Rodovia
855,Total de Acidentes (PR 467),Total de Acidentes
856,Acidentes Graves (PR 467),Acidentes Graves
857,Acidentes com Feridos (PR 467),Acidentes com Feridos
858,Acidentes Leves (PR 467),Acidentes Leves
859,RR 174,Rodovia
860,Total de Acidentes (RR 174),Total de Acidentes
861,Acidentes Graves (RR 174),Acidentes Graves
862,Acidentes com Feridos (RR 174),Acidentes com Feridos
863,Acidentes Leves (RR 174),Acidentes Leves
864,MS 376,Rodovia
865,Total de Acidentes (MS 376),Total de Acidentes
866,Acidentes Graves (MS 376),Acidentes Graves
867,Acidentes com Feridos (MS 376),Acidentes com Feridos
868,Acidentes Leves (MS 376),Acidentes Leves
869,PR 469,Rodovia
870,Total de Acidentes (PR 469),Total de Acidentes
871,Acidentes com Feridos (PR 469),Acidentes com Feridos
872,Acidentes Leves (PR 469),Acidentes Leves
873,AP 156,Rodovia
874,Total de Acidentes (AP 156),Total de Acidentes
875,Acidentes Graves (AP 156),Acidentes Graves
876,Acidentes com Feridos (AP 156),Acidentes com Feridos
877,Acidentes Leves (AP 156),Acidentes Leves
878,RS 471,Rodovia
879,Total de Acidentes (RS 471),Total de Acidentes
880,Acidentes Graves (RS 471),Acidentes Graves
881,Acidentes com Feridos (RS 471),Acidentes com Feridos
882,Acidentes Leves (RS 471),Acidentes Leves
883,PA 308,Rodovia
884,Total de Acidentes (PA 308),Total de Acidentes
885,Acidentes Graves (PA 308),Acidentes Graves
886,Acidentes com Feridos (PA 308),Acidentes com Feridos
887,Acidentes Leves (PA 308),Acidentes Leves
888,MG 364,Rodovia
889,Total de Acidentes (MG 364),Total de Acidentes
890,Acidentes Graves (MG 364),Acidentes Graves
891,Acidentes com Feridos (MG 364),Acidentes com Feridos
892,Acidentes Leves (MG 364),Acidentes Leves
893,PB 427,Rodovia
894,Total de Acidentes (PB 427),Total de Acidentes
895,Acidentes Graves (PB 427),Acidentes Graves
896,Acidentes com Feridos (PB 427),Acidentes com Feridos
897,BA 135,Rodovia
898,Total de Acidentes (BA 135),Total de Acidentes
899,Acidentes Graves (BA 135),Acidentes Graves
900,Acidentes com Feridos (BA 135),Acidentes com Feridos
901,Acidentes Leves (BA 135),Acidentes Leves
902,MG 356,Rodovia
903,Total de Acidentes (MG 356),Total de Acidentes
904,Acidentes com Feridos (MG 356),Acidentes com Feridos
905,Acidentes Leves (MG 356),Acidentes Leves
906,BA 367,Rodovia
907,Total de Acidentes (BA 367),Total de Acidentes
908,Acidentes Graves (BA 367),Acidentes Graves
909,Acidentes com Feridos (BA 367),Acidentes com Feridos
910,Acidentes Leves (BA 367),Acidentes Leves
911,TO 242,Rodovia
912,Total de Acidentes (TO 242),Total de Acidentes
913,Acidentes Graves (TO 242),Acidentes Graves
914,Acidentes com Feridos (TO 242),Acidentes com Feridos
915,Acidentes Leves (TO 242),Acidentes Leves
916,SC 158,Rodovia
917,Total de Acidentes (SC 158),Total de Acidentes
918,Acidentes Graves (SC 158),Acidentes Graves
919,Acidentes com Feridos (SC 158),Acidentes com Feridos
920,Acidentes Leves (SC 158),Acidentes Leves
921,RO 174,Rodovia
922,Total de Acidentes (RO 174),Total de Acidentes
923,Acidentes com Feridos (RO 174),Acidentes com Feridos
924,Acidentes Leves (RO 174),Acidentes Leves
925,AM 174,Rodovia
926,Total de Acidentes (AM 174),Total de Acidentes
927,Acidentes Graves (AM 174),Acidentes Graves
928,Acidentes com Feridos (AM 174),Acidentes com Feridos
929,Acidentes Leves (AM 174),Acidentes Leves
930,BA 420,Rodovia
931,Total de Acidentes (BA 420),Total de Acidentes
932,Acidentes com Feridos (BA 420),Acidentes com Feridos
933,TO NA,Rodovia
934,Total de Acidentes (TO NA),Total de Acidentes
935,Acidentes com Feridos (TO NA),Acidentes com Feridos
936,AL NA,Rodovia
937,Total de Acidentes (AL NA),Total de Acidentes
938,Acidentes Leves (AL NA),Acidentes Leves
939,RJ 354,Rodovia
940,Total de Acidentes (RJ 354),Total de Acidentes
941,Acidentes com Feridos (RJ 354),Acidentes com Feridos
942,PR 272,Rodovia
943,Total de Acidentes (PR 272),Total de Acidentes
944,Acidentes Graves (PR 272),Acidentes Graves
945,Acidentes com Feridos (PR 272),Acidentes com Feridos
946,Acidentes Leves (PR 272),Acidentes Leves
947,ES 447,Rodovia
948,Total de Acidentes (ES 447),Total de Acidentes
949,Acidentes com Feridos (ES 447),Acidentes com Feridos
950,AM 230,Rodovia
951,Total de Acidentes (AM 230),Total de Acidentes
952,Acidentes Graves (AM 230),Acidentes Graves
953,Acidentes com Feridos (AM 230),Acidentes com Feridos
954,Acidentes Leves (AM 230),Acidentes Leves
955,PI 407,Rodovia
956,Total de Acidentes (PI 407),Total de Acidentes
957,Acidentes Graves (PI 407),Acidentes Graves
958,Acidentes com Feridos (PI 407),Acidentes com Feridos
959,Acidentes Leves (PI 407),Acidentes Leves
960,SC NA,Rodovia
961,Total de Acidentes (SC NA),Total de Acidentes
962,Acidentes com Feridos (SC NA),Acidentes com Feridos
963,Acidentes Leves (SC NA),Acidentes Leves
964,SE 349,Rodovia
965,Total de Acidentes (SE 349),Total de Acidentes
966,Acidentes com Feridos (SE 349),Acidentes com Feridos
967,RO NA,Rodovia
968,Total de Acidentes (RO NA),Total de Acidentes
969,Acidentes com Feridos (RO NA),Acidentes com Feridos
970,Acidentes Leves (RO NA),Acidentes Leves
971,CE 122,Rodovia
972,Total de Acidentes (CE 122),Total de Acidentes
973,Acidentes Graves (CE 122),Acidentes Graves
974,Acidentes com Feridos (CE 122),Acidentes com Feridos
975,PB 110,Rodovia
976,Total de Acidentes (PB 110),Total de Acidentes
977,Acidentes Graves (PB 110),Acidentes Graves
978,Acidentes com Feridos (PB 110),Acidentes com Feridos
979,RJ 495,Rodovia
980,Total de Acidentes (RJ 495),Total de Acidentes
981,Acidentes com Feridos (RJ 495),Acidentes com Feridos
982,Acidentes Leves (RJ 495),Acidentes Leves
983,PI 20,Rodovia
984,Total de Acidentes (PI 20),Total de Acidentes
985,Acidentes com Feridos (PI 20),Acidentes com Feridos
986,Acidentes Leves (PI 20),Acidentes Leves
987,RO 421,Rodovia
988,Total de Acidentes (RO 421),Total de Acidentes
989,Acidentes Graves (RO 421),Acidentes Graves
990,Acidentes com Feridos (RO 421),Acidentes com Feridos
991,PE NA,Rodovia
992,Total de Acidentes (PE NA),Total de Acidentes
993,Acidentes Leves (PE NA),Acidentes Leves
994,MS 359,Rodovia
995,Total de Acidentes (MS 359),Total de Acidentes
996,Acidentes Graves (MS 359),Acidentes Graves
997,Acidentes com Feridos (MS 359),Acidentes com Feridos
998,Acidentes Leves (MS 359),Acidentes Leves
999,PB NA,Rodovia
1000,Total de Acidentes (PB NA),Total de Acidentes
1001,Acidentes com Feridos (PB NA),Acidentes com Feridos
1002,Acidentes Leves (PB NA),Acidentes Leves
1003,PI NA,Rodovia
1004,Total de Acidentes (PI NA),Total de Acidentes
1005,Acidentes com Feridos (PI NA),Acidentes com Feridos
1006,Acidentes Leves (PI NA),Acidentes Leves
1007,PI 402,Rodovia
1008,Total de Acidentes (PI 402),Total de Acidentes
1009,Acidentes com Feridos (PI 402),Acidentes com Feridos
1010,Acidentes Leves (PI 402),Acidentes Leves
1011,RO 425,Rodovia
1012,Total de Acidentes (RO 425),Total de Acidentes
1013,Acidentes Graves (RO 425),Acidentes Graves
1014,Acidentes com Feridos (RO 425),Acidentes com Feridos
1015,Acidentes Leves (RO 425),Acidentes Leves
1016,GO NA,Rodovia
1017,Total de Acidentes (GO NA),Total de Acidentes
1018,Acidentes com Feridos (GO NA),Acidentes com Feridos
1019,Acidentes Leves (GO NA),Acidentes Leves
1020,MA NA,Rodovia
1021,Total de Acidentes (MA NA),Total de Acidentes
1022,Acidentes com Feridos (MA NA),Acidentes com Feridos
1023,Acidentes Leves (MA NA),Acidentes Leves
1024,MT NA,Rodovia
1025,Total de Acidentes (MT NA),Total de Acidentes
1026,Acidentes com Feridos (MT NA),Acidentes com Feridos
1027,Acidentes Leves (MT NA),Acidentes Leves
1028,MG NA,Rodovia
1029,Total de Acidentes (MG NA),Total de Acidentes
1030,Acidentes com Feridos (MG NA),Acidentes com Feridos
1031,Acidentes Leves (MG NA),Acidentes Leves
1032,SC 285,Rodovia
1033,Total de Acidentes (SC 285),Total de Acidentes
1034,Acidentes com Feridos (SC 285),Acidentes com Feridos
1035,BA 30,Rodovia
1036,Total de Acidentes (BA 30),Total de Acidentes
1037,Acidentes Graves (BA 30),Acidentes Graves
1038,Acidentes com Feridos (BA 30),Acidentes com Feridos
1039,PA 153,Rodovia
1040,Total de Acidentes (PA 153),Total de Acidentes
1041,Acidentes Graves (PA 153),Acidentes Graves
1042,Acidentes com Feridos (PA 153),Acidentes com Feridos
1043,PR 280,Rodovia
1044,Total de Acidentes (PR 280),Total de Acidentes
1045,Acidentes Graves (PR 280),Acidentes Graves
1046,Acidentes com Feridos (PR 280),Acidentes com Feridos
1047,Acidentes Leves (PR 280),Acidentes Leves
1048,SP NA,Rodovia
1049,Total de Acidentes (SP NA),Total de Acidentes
1050,Acidentes com Feridos (SP NA),Acidentes com Feridos
1051,Acidentes Leves (SP NA),Acidentes Leves
1052,CE 402,Rodovia
1053,Total de Acidentes (CE 402),Total de Acidentes
1054,Acidentes Graves (CE 402),Acidentes Graves
1055,Acidentes com Feridos (CE 402),Acidentes com Feridos
1056,Acidentes Leves (CE 402),Acidentes Leves
1057,CE NA,Rodovia
1058,Total de Acidentes (CE NA),Total de Acidentes
1059,Acidentes com Feridos (CE NA),Acidentes com Feridos
1060,Acidentes Leves (CE NA),Acidentes Leves
1061,DF NA,Rodovia
1062,Total de Acidentes (DF NA),Total de Acidentes
1063,Acidentes Leves (DF NA),Acidentes Leves
1064,PB 412,Rodovia
1065,Total de Acidentes (PB 412),Total de Acidentes
1066,Acidentes Graves (PB 412),Acidentes Graves
1067,Acidentes com Feridos (PB 412),Acidentes com Feridos
1068,Acidentes Leves (PB 412),Acidentes Leves
1069,CE 226,Rodovia
1070,Total de Acidentes (CE 226),Total de Acidentes
1071,Acidentes Graves (CE 226),Acidentes Graves
1072,Acidentes com Feridos (CE 226),Acidentes com Feridos
1073,Acidentes Leves (CE 226),Acidentes Leves
1074,MS 419,Rodovia
1075,Total de Acidentes (MS 419),Total de Acidentes
1076,Acidentes com Feridos (MS 419),Acidentes com Feridos
1077,Acidentes Leves (MS 419),Acidentes Leves
1078,TO 226,Rodovia
1079,Total de Acidentes (TO 226),Total de Acidentes
1080,Acidentes Graves (TO 226),Acidentes Graves
1081,Acidentes com Feridos (TO 226),Acidentes com Feridos
1082,Acidentes Leves (TO 226),Acidentes Leves
1083,AM NA,Rodovia
1084,Total de Acidentes (AM NA),Total de Acidentes
1085,Acidentes com Feridos (AM NA),Acidentes com Feridos
1086,Acidentes Leves (AM NA),Acidentes Leves
1087,SP 262,Rodovia
1088,Total de Acidentes (SP 262),Total de Acidentes
1089,Acidentes com Feridos (SP 262),Acidentes com Feridos
1090,PB 434,Rodovia
1091,Total de Acidentes (PB 434),Total de Acidentes
1092,Acidentes Graves (PB 434),Acidentes Graves
1093,SP 158,Rodovia
1094,Total de Acidentes (SP 158),Total de Acidentes
1095,Acidentes com Feridos (SP 158),Acidentes com Feridos
1096,PR 487,Rodovia
1097,Total de Acidentes (PR 487),Total de Acidentes
1098,Acidentes Graves (PR 487),Acidentes Graves
1099,Acidentes com Feridos (PR 487),Acidentes com Feridos
1100,Acidentes Leves (PR 487),Acidentes Leves
1101,RN NA,Rodovia
1102,Total de Acidentes (RN NA),Total de Acidentes
1103,Acidentes com Feridos (RN NA),Acidentes com Feridos
1104,Acidentes Leves (RN NA),Acidentes Leves
1105,RJ 485,Rodovia
1106,Total de Acidentes (RJ 485),Total de Acidentes
1107,Acidentes com Feridos (RJ 485),Acidentes com Feridos
1108,AL 416,Rodovia
1109,Total de Acidentes (AL 416),Total de Acidentes
1110,Acidentes Graves (AL 416),Acidentes Graves
1111,AL 424,Rodovia
1112,Total de Acidentes (AL 424),Total de Acidentes
1113,Acidentes com Feridos (AL 424),Acidentes com Feridos
1114,RR NA,Rodovia
1115,Total de Acidentes (RR NA),Total de Acidentes
1116,Acidentes Leves (RR NA),Acidentes Leves
1117,PR NA,Rodovia
1118,Total de Acidentes (PR NA),Total de Acidentes
1119,Acidentes Graves (PR NA),Acidentes Graves
1120,Acidentes Leves (PR NA),Acidentes Leves
1121,MS 487,Rodovia
1122,Total de Acidentes (MS 487),Total de Acidentes
1123,Acidentes Graves (MS 487),Acidentes Graves
1124,Acidentes com Feridos (MS 487),Acidentes com Feridos
1125,Acidentes Leves (MS 487),Acidentes Leves
1126,BA NA,Rodovia
1127,Total de Acidentes (BA NA),Total de Acidentes
1128,Acidentes com Feridos (BA NA),Acidentes com Feridos
1129,Acidentes Leves (BA NA),Acidentes Leves
1130,GO 30,Rodovia
1131,Total de Acidentes (GO 30),Total de Acidentes
1132,Acidentes Graves (GO 30),Acidentes Graves
1133,PR 466,Rodovia
1134,Total de Acidentes (PR 466),Total de Acidentes
1135,Acidentes com Feridos (PR 466),Acidentes com Feridos
1136,AL 110,Rodovia
1137,Total de Acidentes (AL 110),Total de Acidentes
1138,Acidentes Graves (AL 110),Acidentes Graves
1139,Acidentes com Feridos (AL 110),Acidentes com Feridos
1140,CE 403,Rodovia
1141,Total de Acidentes (CE 403),Total de Acidentes
1142,Acidentes Graves (CE 403),Acidentes Graves
1143,Acidentes com Feridos (CE 403),Acidentes com Feridos
1144,BA 423,Rodovia
1145,Total de Acidentes (BA 423),Total de Acidentes
1146,Acidentes Leves (BA 423),Acidentes Leves
1147,ES NA,Rodovia
1148,Total de Acidentes (ES NA),Total de Acidentes
1149,Acidentes com Feridos (ES NA),Acidentes com Feridos
1150,Acidentes Leves (ES NA),Acidentes Leves
1151,MA 330,Rodovia
1152,Total de Acidentes (MA 330),Total de Acidentes
1153,Acidentes com Feridos (MA 330),Acidentes com Feridos
1154,RS 480,Rodovia
1155,Total de Acidentes (RS 480),Total de Acidentes
1156,Acidentes Leves (RS 480),Acidentes Leves
1157,AC NA,Rodovia
1158,Total de Acidentes (AC NA),Total de Acidentes
1159,Acidentes Leves (AC NA),Acidentes Leves
1160,PI 226,Rodovia
1161,Total de Acidentes (PI 226),Total de Acidentes
1162,Acidentes com Feridos (PI 226),Acidentes com Feridos
1163,PB 426,Rodovia
1164,Total de Acidentes (PB 426),Total de Acidentes
1165,Acidentes com Feridos (PB 426),Acidentes com Feridos
1166,PE 363,Rodovia
1167,Total de Acidentes (PE 363),Total de Acidentes
1168,Acidentes com Feridos (PE 363),Acidentes com Feridos
